Year;Transistors;Clock (MHz);Power Density (W/cmÂ²);Cores
1971;2300;0.74;3.75;1
1974;4500;2;3.9;1
1976;6500;3;4.45;1
1978;29000;5;5.6666666667;1
1979;29000;5;5.1515151515;1
1982;134000;8;6.7346938776;1
1985;275000;16;1.7788461538;1
1989;1180000;25;1.18125;1
1993;3100000;66;4.0476190476;1
1993;3100000;66;5.4421768707;1
1994;3300000;100;6.7567567568;1
1995;5500000;150;10.3594771242;1
1995;5500000;166;17.8571428571;1
1995;5500000;200;19.3367346939;1
1995;3300000;120;8.6486486486;1
1995;3300000;150;12.7472527473;1
1996;3300000;200;18.6746987952;1
1997;7500000;233;17.1428571429;1
1997;5500000;200;22.4489795918;1
1997;4500000;166;9.2907801418;1
1997;4500000;233;13.28125;1
1998;7500000;350;16.4122137405;1
1998;7500000;450;28.320610687;1
1999;9500000;450;19.765625;1
1999;9500000;533;23.203125;1
1999;9500000;600;26.953125;1
1999;28100000;500;13.9387539599;1
1999;28100000;800;21.9640971489;1
2000;42000000;1300;22.534562212;1
2000;42000000;1300;23.7788018433;1
2000;42000000;1600;28.1105990783;1
2000;42000000;2000;33.0875576037;1
2000;28100000;1100;34.8468848997;1
2002;55000000;1600;29.0076335878;1
2002;55000000;2200;43.5877862595;1
2002;55000000;2800;52.213740458;1
2003;77000000;1700;39.7590361446;1
2004;140000000;2100;25;1
2004;125000000;3200;91.9642857143;1
2004;125000000;3460;78.5714285714;1
2004;125000000;2660;75;1
2004;125000000;3400;102.6785714286;1
2005;140000000;2260;25;1
2005;230000000;3200;63.1067961165;2
2005;230000000;2800;46.1165048544;2
2005;230000000;3200;63.1067961165;2
2005;125000000;3400;75;1
2006;291000000;1867;45.4545454545;2
2006;167000000;2400;58.5585585586;2
2006;376000000;3730;80.2469135802;2
2006;376000000;3600;80.2469135802;2
2006;376000000;3400;58.6419753086;2
2006;188000000;3600;106.1728395062;1
2007;291000000;2666;66.4335664336;4
2007;291000000;2666;90.9090909091;4
2007;820000000;3000;60.7476635514;4
2007;291000000;1500;11.8881118881;2
2007;291000000;1666;24.4755244755;2
2007;167000000;2600;31.5315315315;2
2007;188000000;3600;80.2469135802;1
2008;731000000;3060;49.4296577947;4
2008;410000000;3066;60.7476635514;2
2008;228000000;3066;79.2682926829;2
2008;456000000;2333;57.9268292683;4
2008;820000000;2833;44.3925233645;4
2008;820000000;3200;70.0934579439;4
2008;410000000;2500;32.7102803738;2
2008;228000000;2400;42.6829268293;2
2009;774000000;2666;32.0945945946;4
2009;296000000;1730;15.2027027027;4
2009;456000000;2833;39.6341463415;4
2009;820000000;2833;44.3925233645;4
2009;410000000;3066;32.7102803738;2
2010;774000000;2400;27.7027027027;4
2010;1170000000;3330;52.4193548387;6
2010;296000000;2130;18.5810810811;4
2010;383000000;2933;90.1234567901;2
2011;2270000000;3200;29.8850574713;6
2011;1270000000;3600;44.2176870748;4
2011;504000000;2500;26.7175572519;2
2011;504000000;3300;49.6183206107;2
2011;1160000000;2800;43.9814814815;4
2011;1160000000;2500;30.0925925926;4
2011;1160000000;2300;20.8333333333;4
2013;634000000;2800;58.5106382979;2
2012;830000000;2900;29.6610169492;2
2012;1400000000;3400;48.125;4
2012;1400000000;3100;40.625;4
2012;1008000000;3000;41.3533834586;4
2012;1008000000;2200;26.3157894737;4
2013;1860000000;3400;50.78125;6
2014;2890000000;1800;20.5278592375;10
2014;2890000000;2400;27.8592375367;10
2013;2890000000;2400;33.724340176;12
2014;4310000000;2800;24.0295748614;15
2013;1400000000;3500;19.7740112994;4
2013;1400000000;3200;47.4576271186;4
2014;1400000000;2500;19.7740112994;2
2015;5560000000;2000;17.397881997;8
2015;5560000000;2900;21.1800302572;18
2014;5560000000;2600;21.9364599092;14
2013;5560000000;3500;12.7080181543;4
2013;1300000000;2000;25.9668508287;4
2014;1300000000;1900;8.2872928177;2
2015;1300000000;2700;57.3170731707;4
2015;1300000000;2000;54.8780487805;8
2014;1300000000;1100;5.487804878;2
